날짜 날짜수 확진자수 사망자수 격리해제자수 검사자수
2020-01-21 1 1 0 0 0
2020-01-22 2 1 0 0 5
2020-01-23 3 1 0 0 0
2020-01-24 4 2 0 0 0
2020-01-25 5 2 0 0 0
2020-01-26 6 3 0 0 0
2020-01-27 7 4 0 0 9
2020-01-28 8 4 0 0 130
2020-01-29 9 4 0 0 0
2020-01-30 10 6 0 0 0
2020-01-31 11 11 0 0 0
2020-02-01 12 12 0 0 0
2020-02-02 13 15 0 0 58
2020-02-03 14 15 0 0 0
2020-02-04 15 16 0 0 0
2020-02-05 16 19 0 0 107
2020-02-06 17 23 0 0 171
2020-02-07 18 24 0 0 245
2020-02-08 19 24 0 2 571
2020-02-09 20 27 0 3 639
2020-02-10 21 27 0 3 436
2020-02-11 22 28 0 4 853
2020-02-12 23 28 0 4 1445
2020-02-13 24 28 0 7 723
2020-02-14 25 28 0 7 1057
2020-02-15 26 28 0 9 665
2020-02-16 27 29 0 9 400
2020-02-17 28 30 0 9 252
2020-02-18 29 31 0 10 1094
2020-02-19 30 51 0 12 1146
2020-02-20 31 104 1 16 1750
2020-02-21 32 204 1 16 2655
2020-02-22 33 346 2 17 4805
2020-02-23 34 602 5 18 3012
2020-02-24 35 763 7 18 5982
2020-02-25 36 977 10 22 8101
2020-02-26 37 1261 12 22 9411
2020-02-27 38 1766 13 24 11863
2020-02-28 39 2337 13 26 12950
2020-02-29 40 3150 17 27 14753
2020-03-01 41 3736 18 30 11292
2020-03-02 42 4212 22 31 12606
2020-03-03 43 4812 28 34 16260
2020-03-04 44 5328 32 41 10856
2020-03-05 45 5766 35 88 9834
2020-03-06 46 6284 42 108 18199
2020-03-07 47 6767 44 118 13449
2020-03-08 48 7134 50 130 10329
2020-03-09 49 7382 51 166 8100
2020-03-10 50 7513 54 247 13526
2020-03-11 51 7755 60 288 12251
2020-03-12 52 7869 66 333 12603
2020-03-13 53 7979 66 510 13649
2020-03-14 54 8086 72 714 12688
2020-03-15 55 8162 75 834 6877
2020-03-16 56 8236 75 1137 6292
